cellule,fold,max_depth,min_child_weight,n_estimators,learning_rate,wf_pr_auc_haut,seuil_f2
APC_Global,Fold1,8,10,800,0.05,0.04488535762847369,36.797176361083984
APC_Global,Fold2,8,10,800,0.05,0.03831572452204586,38.11888122558594
APC_Haut,Fold1,4,1,300,0.1,0.04337545355939913,44.917091369628906
APC_Haut,Fold2,4,1,300,0.1,0.03879017526769955,31.696298599243164
APC_Haut,Fold1,4,1,500,0.05,0.04606834747806408,34.5345344543457
APC_Haut,Fold2,4,1,500,0.05,0.027905126703370784,36.31517791748047
APC_Haut,Fold1,4,1,800,0.05,0.04646960182168188,35.73012924194336
APC_Haut,Fold2,4,1,800,0.05,0.02531541170127404,36.40915298461914
APC_Haut,Fold1,4,5,300,0.1,0.027301665008253352,29.884952545166016
APC_Haut,Fold2,4,5,300,0.1,0.04381984246739841,44.665077209472656
APC_Haut,Fold1,4,5,500,0.05,0.04863734322998241,31.608060836791992
APC_Haut,Fold2,4,5,500,0.05,0.027911582654792027,35.97846603393555
APC_Haut,Fold1,4,5,800,0.05,0.052600400702538026,34.0383415222168
APC_Haut,Fold2,4,5,800,0.05,0.026098039355345812,31.319129943847656
APC_Haut,Fold1,4,10,300,0.1,0.029251899099930596,42.863346099853516
APC_Haut,Fold2,4,10,300,0.1,0.046342298242130674,42.14313888549805
APC_Haut,Fold1,4,10,500,0.05,0.0734765799516907,42.30158615112305
APC_Haut,Fold2,4,10,500,0.05,0.03503626910118158,37.175811767578125
APC_Haut,Fold1,4,10,800,0.05,0.06840142663437593,41.613224029541016
APC_Haut,Fold2,4,10,800,0.05,0.03206279521058034,39.932334899902344
APC_Haut,Fold1,6,1,300,0.1,0.035861762086034636,33.385746002197266
APC_Haut,Fold2,6,1,300,0.1,0.027116983466625454,32.04037094116211
APC_Haut,Fold1,6,1,500,0.05,0.03595189318545139,37.466636657714844
APC_Haut,Fold2,6,1,500,0.05,0.025296910165586422,27.463558197021484
APC_Haut,Fold1,6,1,800,0.05,0.03553540897474252,37.536529541015625
APC_Haut,Fold2,6,1,800,0.05,0.023608904731690777,29.934123992919922
APC_Haut,Fold1,6,5,300,0.1,0.033679514072777667,35.483062744140625
APC_Haut,Fold2,6,5,300,0.1,0.02883881086131663,34.33937454223633
APC_Haut,Fold1,6,5,500,0.05,0.03762607309626887,34.82498550415039
APC_Haut,Fold2,6,5,500,0.05,0.025165125771418963,29.62665557861328
APC_Haut,Fold1,6,5,800,0.05,0.037848771745490215,42.02262496948242
APC_Haut,Fold2,6,5,800,0.05,0.025173238625161742,31.979724884033203
APC_Haut,Fold1,6,10,300,0.1,0.03146947415150437,47.89548110961914
APC_Haut,Fold2,6,10,300,0.1,0.030599392892994508,41.77511978149414
APC_Haut,Fold1,6,10,500,0.05,0.03484633543256799,33.87964630126953
