segment,trial,r2,abs_bias_gt63,bias_gt63,pr_auc_troncon,pr_auc_tour,mae_gt63,mae_global,is_pareto,hp_max_depth,hp_learning_rate,hp_n_estimators,hp_subsample,hp_colsample_bytree,hp_min_child_weight,hp_reg_lambda,hp_reg_alpha,hp_gamma
bas,27,0.6172324525167057,26.960863165568245,-26.960863165568245,0.4827327723385987,0.5755067722529247,27.304411214630846,7.573759143030408,False,9,0.10222688324868048,312,0.6226942203722244,0.7100984456557985,8,1.740409812013484,1.1354600985888426,0.13904104059139621
bas,28,0.5925565603613456,30.859606855557587,-30.859606855557587,0.46567616348497554,0.5632533177203531,30.917331893280696,7.774065641140388,False,4,0.02015553829573943,253,0.775532103576638,0.7499472131149618,6,2.99432688594787,0.7976865588439475,3.729923067988351
bas,29,0.5806570780730091,26.325544919282635,-26.325544919282635,0.45134803733662565,0.5532364620830745,26.97694523907756,8.01863881286079,True,10,0.20662780562990568,507,0.8625739805507096,0.8276182093945343,9,0.7172088456069161,1.6796769123632265,3.3400594735250886
bas,30,0.5843517664230131,26.917799046813098,-26.917799046813098,0.4483361581436757,0.5528317123203255,27.45222330273862,7.974321149372768,False,10,0.18545119947871927,489,0.8595849191581006,0.8251867852889606,6,0.6155467087603381,1.5811298669927667,2.729414602880494
bas,31,0.5388035582442363,27.762108723625577,-27.762108723625577,0.4184585332477223,0.5286346598073575,28.313421007548666,8.462328363787387,False,10,0.2680305892897246,407,0.6829301392693443,0.764490192634711,9,1.5222584150225613,1.2913950727977919,3.2427540633607324
bas,32,0.5687562692889356,26.974737342061438,-26.974737342061438,0.4525984720354235,0.5511966782331268,27.601985957438842,8.15521193165216,False,9,0.22288579489500043,494,0.9311515622428723,0.825009723790743,9,0.8511717345445049,1.4268277433381618,2.65972457371213
bas,33,0.6033629293706273,26.844803946534523,-26.844803946534523,0.4833116827392723,0.5722746073293792,27.32082519844614,7.7623653841429245,False,9,0.13044351632394657,427,0.9329963574223586,0.6990729825061753,8,0.6550731433023897,1.6255606602166526,3.1833606185445125
bas,34,0.6163260254782522,29.391509876479024,-29.391509876479024,0.48365603546845964,0.5697107316296695,29.499939839455184,7.4974764270212715,False,8,0.010772994096062007,347,0.8580151212809105,0.7719079638229257,10,2.2883662890331737,0.9739087953814429,3.8760230363944403
bas,35,0.6350593066947501,27.13980562411256,-27.13980562411256,0.4963526989610818,0.5838595423162447,27.40422118754214,7.318699742476544,False,10,0.037883257495150605,292,0.7800762885154408,0.7365051471226349,3,0.2736540848163713,1.2463269567524202,3.3657202855769546
bas,36,0.6283575204735867,26.94538244047921,-26.94538244047921,0.5059483457290364,0.5910977639552885,27.305634164604303,7.407104158028536,True,7,0.06124543915207859,590,0.659266131131894,0.694903951089082,7,0.021345958158535794,1.9663770907826275,2.9041886311094975
bas,37,0.6153767110544429,27.205089843833314,-27.205089843833314,0.5029477097816597,0.5881858151924612,27.555890600510452,7.5792794486028034,False,8,0.08442254706495748,557,0.8317264090520948,0.6513737700091045,9,1.411832091429094,1.687281868297508,4.558576208485971
bas,38,0.6254929930933179,28.14366886465221,-28.14366886465221,0.4972085066403725,0.5862171100686369,28.332877455450728,7.418445740064405,False,6,0.022716516670715853,385,0.74734301979271,0.7211751466016539,8,1.0335587069931802,1.481658797914432,4.058703498831702
bas,39,0.5753892133455266,26.71174607848966,-26.71174607848966,0.4589298524252978,0.5533489170941578,27.42305279772044,8.077407804523157,False,9,0.20584037287704154,415,0.6327796859719754,0.8526088896973479,10,2.304283548746257,1.1007657914356426,2.174169117527348
bas,40,0.6258471052100072,26.981216488951883,-26.981216488951883,0.49609287992577145,0.5879085905473989,27.34625115982283,7.4548956672244575,False,7,0.1578092865774143,103,0.6816737376923201,0.7878149109948088,5,4.603578517301367,0.635641880589108,4.690452193595458
bas,41,0.6103442056671956,27.240392963461403,-27.240392963461403,0.4837238978509479,0.5764032677859589,27.605121277821656,7.675596789667094,False,10,0.1386200231242443,347,0.9161772430178,0.6303906185777917,2,3.462014276935736,0.3836552688340156,4.244195229388903
bas,42,0.5864920326058871,26.367173577379027,-26.367173577379027,0.48662251422584857,0.5802444511311909,27.088715680808352,7.949599994732305,True,5,0.2733730182551645,467,0.7992083353426868,0.6790435970161657,10,3.938709462789576,1.8812100098915867,0.517973584943614
bas,43,0.6055610300858243,29.27153620800657,-29.27153620800657,0.4721228441581614,0.5681134067861254,29.419505913268026,7.652187105789319,False,4,0.03207966615992087,252,0.7932276853477205,0.7578869068699706,10,2.8101517703674843,0.8707002538764053,0.5748699494153111
bas,44,0.6243829798249911,27.620099819493934,-27.620099819493934,0.5121732707347205,0.6012877732600447,27.88214856797274,7.439459727865277,False,5,0.057372583097911836,323,0.7074601295728727,0.6729361536443655,9,3.917357052703759,1.3292110615320674,1.4144478195380166
bas,45,0.6103080748052417,28.842393139599285,-28.842393139599285,0.47958228299740174,0.5755254625499657,29.0224902808459,7.602632738503214,False,4,0.03518784045822515,295,0.8689822557585327,0.791035390010362,8,4.024138448244758,0.7156480302249573,2.4574710852246193
bas,46,0.6274703787291571,27.756665262203253,-27.756665262203253,0.5062293125599163,0.5930932042941955,27.954340538717084,7.402845974496043,False,6,0.04515799544946999,370,0.7356041650985891,0.8140433623470844,7,2.6003141790129813,1.8464940742296765,3.4694020671138515
bas,47,0.6348965849451107,27.476054883209112,-27.476054883209112,0.5080020371397651,0.5943092262309286,27.707807217877424,7.323417596844463,False,7,0.025583453871698733,471,0.6486680336923315,0.8844782425772526,5,1.9692658510158854,1.1605239304440078,3.857638189186554
bas,48,0.6271126765742445,28.2167204591048,-28.2167204591048,0.4896677340505747,0.573400623395113,28.384867379466716,7.387337193165141,False,8,0.02802993552485033,205,0.7627037397448577,0.7294012425989979,4,3.505266246422176,1.0550979885216765,4.7811285850607295
