number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
20,10.556212862896531,2026-07-02 15:06:45.265647,2026-07-02 15:09:38.285905,0 days 00:02:53.020258,7,3.015595213497926,0.04277351731893509,30,0.0010624966773970597,0.9409097905534339,0.8479452511912493,"[11.585602505488266, 10.403189434983542, 9.679846648217792]",584,407,COMPLETE
21,10.540118718461061,2026-07-02 15:09:38.286117,2026-07-02 15:11:38.344062,0 days 00:02:00.057945,7,1.7855524168503618,0.09083097933029653,10,0.0029591035327732906,0.7305721701852862,0.9032511272777851,"[11.594326044372027, 10.421526265195212, 9.604503845815945]",387,182,COMPLETE
22,10.534552142760093,2026-07-02 15:11:38.344249,2026-07-02 15:13:52.638149,0 days 00:02:14.293900,8,2.1514289983271153,0.12729029043039417,12,0.003306658206059486,0.6923632146570182,0.9586825848218574,"[11.621022107945635, 10.369628650305994, 9.613005670028649]",355,118,COMPLETE
23,10.553010827359492,2026-07-02 15:13:52.638326,2026-07-02 15:16:07.305621,0 days 00:02:14.667295,6,1.4164786365384132,0.07513167554004674,14,0.0044302832367948235,0.8722629451228401,0.9198472535484086,"[11.604651826363183, 10.349738220134372, 9.704642435580917]",492,258,COMPLETE
24,10.540690143621987,2026-07-02 15:16:07.305811,2026-07-02 15:18:33.923882,0 days 00:02:26.618071,7,1.0096120061807667,0.06457317247110127,26,0.036954711291523494,0.771005722807893,0.8618262234253342,"[11.594676892133775, 10.366936543546958, 9.660456995185227]",554,246,COMPLETE
25,10.51789449665325,2026-07-02 15:18:33.924074,2026-07-02 15:21:39.030761,0 days 00:03:05.106687,8,5.009461842190793,0.04443368564598375,2,0.001993921515479651,0.6246026171282114,0.9760930113174824,"[11.536324439410413, 10.355733774431835, 9.661625276117505]",570,450,COMPLETE
26,10.562730910338688,2026-07-02 15:21:39.030942,2026-07-02 15:24:45.793221,0 days 00:03:06.762279,10,3.476868728646346,0.0993175926914939,10,0.009261132107359578,0.830706057759496,0.9353677805447193,"[11.566771485313156, 10.463452419040085, 9.657968826662826]",263,146,COMPLETE
27,10.58513124661299,2026-07-02 15:24:45.793427,2026-07-02 15:26:26.147663,0 days 00:01:40.354236,9,2.176078083690893,0.1295584885091545,35,0.04087007777068138,0.7547429341989959,0.888770822924571,"[11.553637210146825, 10.45278167232849, 9.748974857363656]",202,142,COMPLETE
28,10.61209496137901,2026-07-02 15:26:26.147873,2026-07-02 15:28:53.493815,0 days 00:02:27.345942,7,9.587694005493448,0.03294637240131734,22,0.003875170282465308,0.6966018000519594,0.8117558543659968,"[11.657677365777964, 10.393586708766211, 9.78502080959285]",529,453,COMPLETE
29,10.66940666750026,2026-07-02 15:28:53.494022,2026-07-02 15:29:55.860210,0 days 00:01:02.366188,8,1.6681257045873525,0.22285449833298687,13,0.009382151978863185,0.6026375587122197,0.8861685610474609,"[11.783734723259537, 10.472629465548238, 9.751855813693002]",161,40,COMPLETE
30,10.622902560858103,2026-07-02 15:29:55.860391,2026-07-02 15:32:03.806134,0 days 00:02:07.945743,6,24.716043596389078,0.050828109976621266,7,0.0018510305561613464,0.8949659985003815,0.7803540887136295,"[11.613688560304164, 10.476408920006145, 9.778610202264]",543,317,COMPLETE
31,10.509815516491711,2026-07-02 15:32:03.806324,2026-07-02 15:35:29.822235,0 days 00:03:26.015911,8,5.289589726458592,0.04150850764709996,2,0.0020387761064018144,0.6333573823398717,0.9753858675417209,"[11.483616069821785, 10.384681236837622, 9.661149242815725]",597,455,COMPLETE
32,10.656858378810972,2026-07-02 15:35:29.822472,2026-07-02 15:38:27.691531,0 days 00:02:57.869059,7,5.121819337605419,0.02245807367487479,16,0.00101192955283401,0.6316615496012884,0.9691773004192779,"[11.623234944421368, 10.440265801329573, 9.90707439068197]",600,464,COMPLETE
33,10.50314107349289,2026-07-02 15:38:27.691725,2026-07-02 15:41:25.048957,0 days 00:02:57.357232,8,2.883616323561392,0.07232063956434547,1,0.005129278614220918,0.809100257944912,0.9326260583026784,"[11.523657395728446, 10.422189536341193, 9.563576288409028]",405,315,COMPLETE
34,10.492809160448182,2026-07-02 15:41:25.049326,2026-07-02 15:44:59.608766,0 days 00:03:34.559440,9,2.6798537566823106,0.07071431642868581,8,0.00517734583792423,0.8184192040144169,0.9266295296035133,"[11.508406166728461, 10.387408014575946, 9.582613300040135]",440,276,COMPLETE
35,10.511281875276746,2026-07-02 15:44:59.609041,2026-07-02 15:48:33.060966,0 days 00:03:33.451925,9,2.7502850194575514,0.06924514749377123,7,0.005849784049694267,0.810204231530926,0.9348494865383518,"[11.518642088606247, 10.393637859365699, 9.621565677858294]",414,267,COMPLETE
36,10.503117153208798,2026-07-02 15:48:33.061240,2026-07-02 15:53:41.363440,0 days 00:05:08.302200,10,3.0791497818981246,0.06230582235236567,25,0.013390905569143215,0.843538681232522,0.8669217528580373,"[11.48184244006781, 10.420799939518266, 9.606709080040318]",392,320,COMPLETE
37,10.527745569612854,2026-07-02 15:53:41.363949,2026-07-02 15:58:22.266742,0 days 00:04:40.902793,10,2.334436237358581,0.058865131959762416,45,0.04714109037524303,0.8505973360973333,0.8600542816591713,"[11.496523468303502, 10.469937818061624, 9.616775422473436]",400,264,COMPLETE
38,10.547621399647346,2026-07-02 15:58:22.266978,2026-07-02 16:02:35.197813,0 days 00:04:12.930835,10,3.366767060942358,0.08279284375665742,28,0.8198524676465982,0.8917306021443512,0.8390649704319694,"[11.511268583623924, 10.47831203948398, 9.653283575834129]",322,200,COMPLETE
39,10.543611054988284,2026-07-02 16:02:35.198007,2026-07-02 16:07:55.436786,0 days 00:05:20.238779,10,6.8954444944789595,0.03711802692550552,38,0.01480987889975076,0.8096163699865614,0.717273888656067,"[11.511839867185765, 10.437756749635144, 9.681236548143946]",576,485,COMPLETE
